model,source_identifier,rights_statement,visibility,embargo_release_date,visibility_during_embargo,visibility_after_embargo,lease_expiration_date,visibility_during_lease,visibility_after_lease,children,parents,file,remote_files,collection_order,context_statement,contributor,contributor_affiliation,contributor_agent_type,contributor_name_identifier,contributor_orcid,contributor_role,contributor_role_other,creator,date_created,date_end,date_information,date_made_public,date_range_of_outputs,date_start,date_type,description,extent,extent_type,file_access_level,funder_award_number,funder_award_title,funder_award_uri,funder_identifier,funder_identifier_type,funder_name,funder_scheme_uri,geo_east_bound,geo_north_bound,geo_place_name,geo_point_latitude,geo_point_longitude,geo_south_bound,geo_west_bound,identifier_type,identifier_value,item_subtype,keyword,label,license_holder,license_lang,license_rights_identifier,license_rights_identifier_scheme,license_rights_label,license_rights_uri,license_scheme_uri,media_type,media_viewer,note,organisational_unit_name,organisational_unit_pid,organisational_unit_type,place_of_publication,portfolio_identifier,publisher,ref_unit_of_assessment,related_item,relationship_item,relationship_note,relationship_position,relationship_title,relationship_type,research_group,rights,show_pdf_download_button,show_pdf_viewer,title,title_lang,title_type,title_value,transcript_ids
PortfolioArtefact,fp-01-baseline,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 01 baseline,,,,
PortfolioArtefact,fp-02-contributor-only,,restricted,,,,,,,,,,,,,"Fusco, Maria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 02 contributor-only,,,,
PortfolioArtefact,fp-03-contrib-agent-type,,restricted,,,,,,,,,,,,,"Fusco, Maria",,Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 03 contrib-agent-type,,,,
PortfolioArtefact,fp-04-contrib-role,,restricted,,,,,,,,,,,,,"Fusco, Maria",,,,,researcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 04 contrib-role,,,,
PortfolioArtefact,fp-05-contrib-AFFILIATION,,restricted,,,,,,,,,,,,,"Fusco, Maria",University of Dundee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 05 contrib-AFFILIATION,,,,
PortfolioArtefact,fp-06-contrib-orcid,,restricted,,,,,,,,,,,,,"Fusco, Maria",,,,0000-0001-9424-8602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 06 contrib-orcid,,,,
PortfolioArtefact,fp-07-contrib-name-ident,,restricted,,,,,,,,,,,,,"Fusco, Maria",,,https://orcid.org/0000-0001-9424-8602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 07 contrib-name-ident,,,,
PortfolioArtefact,fp-08-contrib-role-other,,restricted,,,,,,,,,,,,,"Fusco, Maria",,,,,other,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 08 contrib-role-other,,,,
PortfolioArtefact,fp-09-contrib-MULTI-2,,restricted,,,,,,,,,,,,,"Fusco, Maria|Dillan, Shauna",,Person|Person,,,researcher|projectmanager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 09 contrib-MULTI-2,,,,
PortfolioArtefact,fp-10-date-start-type,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Created,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 10 date-start-type,,,,
PortfolioArtefact,fp-11-date-start-end,,restricted,,,,,,,,,,,,,,,,,,,,,,2026,,,,2024,Created,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 11 date-start-end,,,,
PortfolioArtefact,fp-12-date-type-collected,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 12 date-type-collected,,,,
PortfolioArtefact,fp-13-date-information,,restricted,,,,,,,,,,,,,,,,,,,,,,,Made public 2024.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 13 date-information,,,,
PortfolioArtefact,fp-14-media-type,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image,,,,,,,,,,,,,,,,,,,,FIELDPROBE 14 media-type,,,,
PortfolioArtefact,fp-15-item-subtype,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://schema.org/Photograph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 15 item-subtype,,,,
PortfolioArtefact,fp-16-geo-point,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dundee, Scotland",56.4620,-2.9707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 16 geo-point,,,,
PortfolioArtefact,fp-17-geo-bbox,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.90,56.50,"Dundee, Scotland",,,56.44,-3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 17 geo-bbox,,,,
PortfolioArtefact,fp-18-relationship-single,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://example.org/x,,1,Example,references,,,,,FIELDPROBE 18 relationship-single,,,,
