model,source_identifier,rights_statement,visibility,embargo_release_date,visibility_during_embargo,visibility_after_embargo,lease_expiration_date,visibility_during_lease,visibility_after_lease,children,parents,file,remote_files,collection_order,context_statement,contributor,contributor_affiliation,contributor_agent_type,contributor_name_identifier,contributor_orcid,contributor_role,contributor_role_other,creator,date_created,date_end,date_information,date_made_public,date_range_of_outputs,date_start,date_type,description,extent,extent_type,file_access_level,funder_award_number,funder_award_title,funder_award_uri,funder_identifier,funder_identifier_type,funder_name,funder_scheme_uri,geo_east_bound,geo_north_bound,geo_place_name,geo_point_latitude,geo_point_longitude,geo_south_bound,geo_west_bound,identifier_type,identifier_value,item_subtype,keyword,label,license_holder,license_lang,license_rights_identifier,license_rights_identifier_scheme,license_rights_label,license_rights_uri,license_scheme_uri,media_type,media_viewer,note,organisational_unit_name,organisational_unit_pid,organisational_unit_type,place_of_publication,portfolio_identifier,publisher,ref_unit_of_assessment,related_item,relationship_item,relationship_note,relationship_position,relationship_title,relationship_type,research_group,rights,show_pdf_download_button,show_pdf_viewer,title,title_lang,title_type,title_value,transcript_ids,contributor_1,contributor_agent_type_1,contributor_role_1,contributor_role_other_1,contributor_orcid_1,contributor_affiliation_1,contributor_name_identifier_1,contributor_2,contributor_agent_type_2,contributor_role_2,contributor_role_other_2,contributor_orcid_2,contributor_affiliation_2,contributor_name_identifier_2,relationship_type_1,relationship_item_1,relationship_title_1,relationship_position_1,relationship_note_1,relationship_type_2,relationship_item_2,relationship_title_2,relationship_position_2,relationship_note_2
PortfolioArtefact,ctl-G01,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PASSES NOW. bare minimum: model, source_identifier, title",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G01 · PASSES NOW · bare minimum: model, source_identifier, title",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,ctl-G02,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PASSES NOW. suffixed single contributor, all seven sub-fields",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G02 · PASSES NOW · suffixed single contributor, all seven sub-fields",,,,,Control Alpha,person,researcher,,0000-0001-9424-8602,Test University,https://orcid.org/0000-0001-9424-8602,,,,,,,,,,,,,,,,,
PortfolioArtefact,ctl-G03,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PASSES NOW. suffixed TWO contributors, person + organization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G03 · PASSES NOW · suffixed TWO contributors, person + organization",,,,,Control Bravo,person,researcher,,,,,Control Charlie Org,organization,hostinginstitution,,,,,,,,,,,,,,
PortfolioArtefact,ctl-G04,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSES NOW. contributor_role = other + role_other free text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G04 · PASSES NOW · contributor_role = other + role_other free text,,,,,Control Delta,person,other,Director of photography,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,ctl-G05,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSES NOW. suffixed TWO relationships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G05 · PASSES NOW · suffixed TWO relationships,,,,,,,,,,,,,,,,,,,references,https://example.org/a,A,1,,isdocumentedby,https://example.org/b,B,2,
PortfolioArtefact,ctl-G06,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSES NOW. active:false relationship terms source-of / derived-from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G06 · PASSES NOW · active:false relationship terms source-of / derived-from,,,,,,,,,,,,,,,,,,,source-of,https://example.org/a,Derived work,1,,derived-from,https://example.org/b,Source work,2,
PortfolioArtefact,ctl-G07,,restricted,,,,,,,,,,,,,,,,,,,,,,2008,,,,1997,Created,"PASSES NOW. date_start + date_end + date_type, year-only values in the compound",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G07 · PASSES NOW · date_start + date_end + date_type, year-only values in the compound",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,ctl-G08,,restricted,,,,,,,,,,,,,,,,,,,,,2020-05-11,,,2020-05-11,,,,PASSES NOW. full YYYY-MM-DD in a scalar date field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G08 · PASSES NOW · full YYYY-MM-DD in a scalar date field,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,ctl-G09,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSES NOW. geo point and bounding box together,,,,,,,,,,,-2.90,56.50,"Dundee, Scotland",56.4620,-2.9707,56.44,-3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G09 · PASSES NOW · geo point and bounding box together,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,ctl-G10,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSES NOW. funder chain + identifier + item_subtype + media_type,,,,AH/Z507131/1,,,https://ror.org/0505m1554,ROR,Arts and Humanities Research Council,,,,,,,,,DOI,10.1234/example,https://schema.org/Photograph,,,,,,,,,,Image,,,,,,,,,,,,,,,,,,,,G10 · PASSES NOW · funder chain + identifier + item_subtype + media_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,ctl-G11,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PASSES NOW. full licence block, SPDX page URL",,,,,,,,,,,,,,,,,,,,,,,Test University,eng,CC-BY-NC-ND-4.0,SPDX,Creative Commons Attribution Non Commercial No Derivatives 4.0 International,https://spdx.org/licenses/CC-BY-NC-ND-4.0.html,https://spdx.org/licenses/,,,,,,,,,,,,,,,,,,,,,"G11 · PASSES NOW · full licence block, SPDX page URL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,ctl-G12,,embargo,2027-01-01,restricted,open,,,,,,,,,,,,,,,,,,,,,,,,,PASSES NOW. embargo triple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G12 · PASSES NOW · embargo triple,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,ctl-G13,,lease,,,,2027-12-31,authenticated,restricted,,,,,,,,,,,,,,,,,,,,,,PASSES NOW. lease triple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G13 · PASSES NOW · lease triple,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,ctl-G14,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSES NOW. file_access_level closed with open metadata,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G14 · PASSES NOW · file_access_level closed with open metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioItemCollection,ctl-G15,,restricted,,,,,,,,,,,1,,,,,,,,,,,,,,,,,"PASSES NOW. ItemCollection with collection_order, extent, extent_type",60,files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G15 · PASSES NOW · ItemCollection with collection_order, extent, extent_type",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioLiterature,ctl-G16,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSES NOW. Literature with place_of_publication and PDF viewer flags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"London, United Kingdom",,,,,,,,,,,,1,1,G16 · PASSES NOW · Literature with place_of_publication and PDF viewer flags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,ctl-G17,,restricted,,,,,,,,,,,,Read this first: the parts are ordered; start at one.,,,,,,,,,,,,,,,,PASSES NOW. context_statement with a colon: and a semicolon; must survive intact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G17 · PASSES NOW · context_statement with a colon: and a semicolon; must survive intact,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,ctl-G18,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PASSES NOW. organisational unit with pid, related_item, title lang/type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School of Art,https://ror.org/0505m1554,School,,,,,https://example.org/related,,,,,,,,,,"G18 · PASSES NOW · organisational unit with pid, related_item, title lang/type",eng,Main,,,,,,,,,,,,,,,,,,,,,,,,,,
