model,source_identifier,rights_statement,visibility,embargo_release_date,visibility_during_embargo,visibility_after_embargo,lease_expiration_date,visibility_during_lease,visibility_after_lease,children,parents,file,remote_files,collection_order,context_statement,contributor,contributor_affiliation,contributor_agent_type,contributor_name_identifier,contributor_orcid,contributor_role,contributor_role_other,creator,date_created,date_end,date_information,date_made_public,date_range_of_outputs,date_start,date_type,description,extent,extent_type,file_access_level,funder_award_number,funder_award_title,funder_award_uri,funder_identifier,funder_identifier_type,funder_name,funder_scheme_uri,geo_east_bound,geo_north_bound,geo_place_name,geo_point_latitude,geo_point_longitude,geo_south_bound,geo_west_bound,identifier_type,identifier_value,item_subtype,keyword,label,license_holder,license_lang,license_rights_identifier,license_rights_identifier_scheme,license_rights_label,license_rights_uri,license_scheme_uri,media_type,media_viewer,note,organisational_unit_name,organisational_unit_pid,organisational_unit_type,place_of_publication,portfolio_identifier,publisher,ref_unit_of_assessment,related_item,relationship_item,relationship_note,relationship_position,relationship_title,relationship_type,research_group,rights,show_pdf_download_button,show_pdf_viewer,title,title_lang,title_type,title_value,transcript_ids,contributor_1,contributor_agent_type_1,contributor_role_1,contributor_role_other_1,contributor_orcid_1,contributor_affiliation_1,contributor_name_identifier_1,contributor_2,contributor_agent_type_2,contributor_role_2,contributor_role_other_2,contributor_orcid_2,contributor_affiliation_2,contributor_name_identifier_2,relationship_type_1,relationship_item_1,relationship_title_1,relationship_position_1,relationship_note_1,relationship_type_2,relationship_item_2,relationship_title_2,relationship_position_2,relationship_note_2
PortfolioArtefact,reg-B01,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAILS NOW. free text in `rights` — collides with the controlled rights_statement property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) Test Author 2026. All rights reserved.,,,B01 · FAILS NOW · free text in `rights` — collides with the controlled rights_statement property,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,reg-B02,,restricted,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,"FAILS NOW. date_created year-only — scalar date field is date-typed, Date.parse raises",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B02 · FAILS NOW · date_created year-only — scalar date field is date-typed, Date.parse raises",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,reg-B03,,restricted,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,FAILS NOW. date_made_public year-only — same cause as B02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B03 · FAILS NOW · date_made_public year-only — same cause as B02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,reg-B04,,restricted,,,,,,,,,,,,,,,,,,,,,,,Made public in 2024.,,,,,FAILS NOW. date_information with no date_start/date_end/date_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04 · FAILS NOW · date_information with no date_start/date_end/date_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,reg-B05,,restricted,,,,,,,,,,,,,Regress Alpha,,person,,,researcher,,,,,,,,,,FAILS NOW. unsuffixed contributor + agent_type + role (the minimum real-world shape),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B05 · FAILS NOW · unsuffixed contributor + agent_type + role (the minimum real-world shape),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,reg-B06,,restricted,,,,,,,,,,,,,Regress Bravo|Regress Charlie,,person|person,,,researcher|editor,,,,,,,,,,FAILS NOW. unsuffixed: TWO contributors pipe-delimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B06 · FAILS NOW · unsuffixed: TWO contributors pipe-delimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,reg-B07,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAILS NOW. agent_type 'Person' — enum is case-sensitive (unintended),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B07 · FAILS NOW · agent_type 'Person' — enum is case-sensitive (unintended),,,,,Regress Delta,Person,researcher,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,reg-B08,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAILS NOW. agent_type 'organisation' — code uses US spelling (unintended),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B08 · FAILS NOW · agent_type 'organisation' — code uses US spelling (unintended),,,,,Regress Echo Org,organisation,hostinginstitution,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,reg-B09,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAILS NOW. ONE contributor with TWO roles — needs split:true on contributor_role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B09 · FAILS NOW · ONE contributor with TWO roles — needs split:true on contributor_role,,,,,Regress Foxtrot,person,researcher|editor,,,,,,,,,,,,,,,,,,,,,
PortfolioArtefact,reg-B10,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAILS NOW. unsuffixed: TWO relationships pipe-delimited — needs split:true on relationship_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://example.org/a|https://example.org/b,,1|2,A|B,references|isdocumentedby,,,,,B10 · FAILS NOW · unsuffixed: TWO relationships pipe-delimited — needs split:true on relationship_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
